function,dimension,p_sigma_mode,initial_sigma,seed,best_f,evaluations,reached_target
rosenbrock,10,zero,0.3,6,7.973627166410417e-09,6191,True
rosenbrock,10,zero,0.3,7,8.277234717686391e-09,6541,True
rosenbrock,10,zero,0.3,8,6.938625735397538e-09,5321,True
rosenbrock,10,zero,0.3,9,5.5306212339308735e-09,7211,True
rosenbrock,10,zero,0.3,10,8.585557346453726e-09,6491,True
rosenbrock,10,zero,0.5,1,7.601210964464077e-09,7021,True
rosenbrock,10,zero,0.5,2,7.897151153460688e-09,7911,True
rosenbrock,10,zero,0.5,3,8.865047157072817e-09,6081,True
rosenbrock,10,zero,0.5,4,7.034462994334824e-09,7151,True
rosenbrock,10,zero,0.5,5,8.589539824267147e-09,8031,True
rosenbrock,10,zero,0.5,6,7.651880518006166e-09,6211,True
rosenbrock,10,zero,0.5,7,4.505946741388146e-09,5651,True
rosenbrock,10,zero,0.5,8,6.730129494689492e-09,6251,True
rosenbrock,10,zero,0.5,9,4.8646309364007536e-09,6421,True
rosenbrock,10,zero,0.5,10,9.362984265982819e-09,4101,True
rosenbrock,10,zero,1.0,1,2.988597079021019e-09,7051,True
rosenbrock,10,zero,1.0,2,6.873914093890025e-09,6771,True
rosenbrock,10,zero,1.0,3,7.172906973843032e-09,5551,True
rosenbrock,10,zero,1.0,4,8.773899173440101e-09,5661,True
rosenbrock,10,zero,1.0,5,5.737926881554861e-09,9261,True
rosenbrock,10,zero,1.0,6,9.096536340372133e-09,6531,True
rosenbrock,10,zero,1.0,7,8.591211895447688e-09,6201,True
rosenbrock,10,zero,1.0,8,5.562526400761246e-09,6131,True
rosenbrock,10,zero,1.0,9,6.205283568318201e-09,6741,True
rosenbrock,10,zero,1.0,10,9.838218214088205e-09,6321,True
rosenbrock,10,zero,2.0,1,7.415691339584573e-09,6691,True
rosenbrock,10,zero,2.0,2,3.986579112347137,20001,False
rosenbrock,10,zero,2.0,3,6.44875938443145e-09,6771,True
rosenbrock,10,zero,2.0,4,7.862606976809983e-09,6641,True
rosenbrock,10,zero,2.0,5,9.831480579819921e-09,5511,True
rosenbrock,10,zero,2.0,6,6.089681073049279e-09,6641,True
rosenbrock,10,zero,2.0,7,7.823204977108646e-09,5731,True
rosenbrock,10,zero,2.0,8,7.023840309233477e-09,7451,True
rosenbrock,10,zero,2.0,9,7.96835588881431e-09,4281,True
rosenbrock,10,zero,2.0,10,7.656895774352015e-09,5891,True
